Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Expected_stay_days,Reservation_gap
31956359,F,23,African American,Grad,50K -- 100K,North,City Hotel,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,238,1,100
85101864,M,55,Asian American,Mid-School,50K -- 100K,East,Airport Hotels,2,3,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,5,144,1,108
76679894,M,58,African American,Mid-School,50K -- 100K,West,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,216,2,90
99030960,M,31,caucasian,Mid-School,50K -- 100K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,240,4,88
22908824,F,33,Latino,College,<25K,East,City Hotel,3,1,1,HB,No,No,Refundable,Direct,Yes,Check-In,No,0,123,2,77
95121154,F,41,Asian American,High-School,25K --50K,North,Resort,4,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,248,1,1
93260803,F,38,Latino,High-School,50K -- 100K,North,Airport Hotels,5,1,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,217,2,28
65748594,F,24,African American,College,50K -- 100K,West,Airport Hotels,1,2,0,HB,No,No,No Deposit,Direct,No,Check-In,Yes,5,234,2,49
70197598,M,63,caucasian,College,50K -- 100K,West,Resort,3,1,0,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-In,Yes,5,120,1,35
75393812,F,58,African American,High-School,50K -- 100K,East,City Hotel,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,158,2,71
35573319,F,26,Latino,High-School,50K -- 100K,West,Resort,2,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,168,2,31
15775355,M,20,Asian American,High-School,<25K,East,City Hotel,3,1,1,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,130,2,30
20372189,F,44,Asian American,Grad,25K --50K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,203,3,5
14138784,F,38,Asian American,Mid-School,50K -- 100K,West,City Hotel,3,3,1,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,15,181,2,98
75668801,F,64,caucasian,High-School,25K --50K,South,Airport Hotels,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,165,1,0
85923736,F,29,African American,College,<25K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,20,186,1,99
91219,M,35,Latino,High-School,50K -- 100K,North,Resort,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,130,2,98
45482058,M,53,Latino,Grad,25K --50K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,118,2,7
91798772,M,38,Asian American,College,<25K,West,Airport Hotels,3,1,1,BB,No,No,No Deposit,Online,No,Check-In,No,0,123,4,1
52430955,F,22,African American,High-School,25K --50K,South,Airport Hotels,1,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,5,195,1,-1
56511978,M,47,African American,Grad,<25K,North,Resort,1,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,109,2,7
4371916,F,69,caucasian,Grad,>100K,South,City Hotel,1,2,1,BB,No,No,No Deposit,Agent,No,Check-In,Yes,10,162,2,0
61280116,F,25,Latino,College,>100K,South,City Hotel,1,1,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,25,179,4,-2
8903936,F,22,caucasian,High-School,50K -- 100K,East,Airport Hotels,4,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,20,242,3,6
49894109,M,57,Latino,College,25K --50K,East,Airport Hotels,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,15,244,1,4
36479325,F,68,African American,Grad,>100K,South,Airport Hotels,2,2,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,148,2,0
95145544,F,27,Latino,Mid-School,>100K,West,City Hotel,2,2,1,HB,Yes,Yes,Refundable,Agent,No,Check-In,No,0,176,1,43
78688371,F,24,caucasian,College,<25K,South,Airport Hotels,1,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,103,2,78
50136772,F,61,African American,Grad,25K --50K,West,City Hotel,4,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,122,4,93
8142106,M,36,Asian American,Mid-School,25K --50K,West,City Hotel,3,2,1,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,20,133,1,108
12737635,F,38,caucasian,Mid-School,25K --50K,South,City Hotel,4,1,1,BB,No,No,Refundable,Online,Yes,Check-In,No,0,158,1,29
70828688,M,70,Asian American,College,50K -- 100K,East,City Hotel,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,40,227,1,63
45133192,M,38,African American,College,50K -- 100K,North,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,25,114,1,38
60357244,M,58,African American,Grad,25K --50K,South,Airport Hotels,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,223,1,89
20431537,M,26,Latino,College,<25K,South,Airport Hotels,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,201,1,33
85494342,M,37,African American,College,25K --50K,North,Resort,3,3,1,HB,No,No,Refundable,Online,No,Check-In,Yes,5,191,1,92
11120982,F,45,Asian American,Grad,<25K,South,City Hotel,5,1,0,HB,No,No,Refundable,Online,Yes,Check-In,Yes,5,190,4,93
51131903,M,29,Asian American,High-School,25K --50K,West,Airport Hotels,2,1,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,115,1,28
89674363,F,25,African American,College,>100K,North,City Hotel,2,2,0,HB,No,No,Refundable,Direct,Yes,Check-In,No,0,176,1,100
23053437,F,54,Asian American,College,50K -- 100K,North,Resort,1,1,1,BB,Yes,No,Refundable,Direct,No,Check-In,Yes,40,160,1,26
6558091,M,18,caucasian,Grad,50K -- 100K,South,Resort,3,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,150,2,6
10383391,M,54,Asian American,College,50K -- 100K,North,Resort,1,2,1,BB,Yes,No,Refundable,Online,No,Check-In,Yes,5,157,2,80
79042826,M,33,Asian American,High-School,25K --50K,West,Airport Hotels,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,188,1,93
24397112,F,35,African American,College,50K -- 100K,South,Resort,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,186,1,109
57110940,M,58,African American,Mid-School,<25K,South,Resort,2,2,0,HB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,172,1,95
58986042,M,24,Asian American,College,25K --50K,East,City Hotel,2,2,0,HB,No,No,Refundable,Online,Yes,Check-In,Yes,20,244,3,76
28336528,F,40,Asian American,Mid-School,>100K,North,City Hotel,1,1,1,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,241,1,114
52268748,F,29,Latino,Mid-School,>100K,North,Resort,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,193,2,109
30401013,M,37,Asian American,Grad,50K -- 100K,East,Airport Hotels,1,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,151,1,50
45608680,M,34,caucasian,College,50K -- 100K,West,Airport Hotels,3,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,127,3,91
68485421,M,62,caucasian,College,50K -- 100K,South,Airport Hotels,2,3,0,HB,No,No,No Deposit,Agent,Yes,Check-In,Yes,5,184,3,78
33603045,M,50,caucasian,College,50K -- 100K,South,Resort,4,2,0,BB,Yes,Yes,No Deposit,Direct,No,Check-In,Yes,30,181,2,82
14999192,F,56,Asian American,College,<25K,East,City Hotel,1,2,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,5,145,3,48
98707595,F,43,caucasian,High-School,<25K,South,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,229,1,110
13605689,F,27,Latino,College,<25K,South,Resort,3,2,0,BB,No,No,Refundable,Online,No,Check-In,No,0,150,1,-1
10893318,F,23,Asian American,College,<25K,North,Airport Hotels,1,3,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,5,203,1,1
90856125,F,27,Latino,College,<25K,North,City Hotel,2,1,0,BB,Yes,No,Refundable,Online,No,Check-In,No,0,173,1,6
3777304,M,23,African American,High-School,25K --50K,North,Airport Hotels,3,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,15,154,1,97
28290541,F,21,Asian American,College,25K --50K,East,Airport Hotels,2,2,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,20,115,2,93
31585233,F,69,caucasian,College,>100K,South,City Hotel,5,3,1,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,126,1,47
7941843,F,25,Latino,College,>100K,South,Resort,3,1,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,233,1,65
83263158,F,33,caucasian,College,>100K,South,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,122,1,103
51480633,M,50,African American,College,25K --50K,West,Resort,3,2,1,BB,No,No,No Deposit,Direct,No,Check-In,Yes,25,154,3,25
42398549,F,41,African American,College,50K -- 100K,South,City Hotel,3,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,187,4,30
68883489,M,31,Latino,College,<25K,East,City Hotel,2,2,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,5,167,2,96
72085848,F,26,Latino,College,25K --50K,South,Airport Hotels,5,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,10,204,3,101
98680910,M,68,caucasian,Mid-School,25K --50K,North,Airport Hotels,3,1,1,HB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,128,3,65
54747143,M,50,Latino,High-School,25K --50K,South,Resort,2,2,2,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,246,2,84
29635766,F,35,Latino,Grad,50K -- 100K,South,Airport Hotels,3,1,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,30,211,2,256
80776785,F,31,Asian American,College,<25K,North,Resort,4,2,0,HB,No,No,Non-Refundable,Online,No,Check-In,Yes,25,135,3,108
3897824,F,34,African American,Grad,>100K,East,Resort,1,3,2,BB,Yes,Yes,Non-Refundable,Agent,No,Check-In,Yes,20,117,3,91
57380074,M,26,Asian American,High-School,25K --50K,North,Airport Hotels,3,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,5,146,1,111
20431534,F,48,caucasian,College,<25K,South,Airport Hotels,1,1,0,BB,Yes,No,Refundable,Direct,Yes,Check-In,No,0,165,1,99
